step,NDCG@1,NDCG@3,NDCG@5,NDCG@10,NDCG@100,MAP@1,MAP@3,MAP@5,MAP@10,MAP@100,Recall@1,Recall@3,Recall@5,Recall@10,Recall@100,P@1,P@3,P@5,P@10,P@100
409600,0.42879,0.3866,0.3681,0.33241,0.34001,0.05635,0.09656,0.1129,0.12707,0.16652,0.05635,0.10808,0.13525,0.16718,0.3888,0.44582,0.36326,0.31703,0.23777,0.09505
425984,0.42879,0.38716,0.3675,0.33227,0.34005,0.05635,0.09668,0.11242,0.12704,0.16649,0.05635,0.10827,0.13414,0.16718,0.3888,0.44582,0.36429,0.31641,0.23746,0.09505
442368,0.4257,0.38662,0.36752,0.33202,0.33999,0.05634,0.09667,0.11242,0.12702,0.16647,0.05634,0.10827,0.13417,0.16718,0.3888,0.44272,0.36429,0.31703,0.23746,0.09505
458752,0.4257,0.38662,0.36793,0.33217,0.34002,0.05634,0.09667,0.11246,0.12708,0.16648,0.05634,0.10827,0.13435,0.16721,0.3888,0.44272,0.36429,0.31765,0.23777,0.09505
475136,0.42879,0.38675,0.36786,0.3318,0.33964,0.05635,0.09616,0.1119,0.1265,0.16591,0.05635,0.10827,0.13435,0.16716,0.3888,0.44582,0.36429,0.31765,0.23746,0.09505
491520,0.42879,0.38593,0.367,0.33131,0.33953,0.05635,0.09606,0.11185,0.12642,0.16584,0.05635,0.10796,0.13431,0.16711,0.3888,0.44582,0.36326,0.31641,0.23684,0.09505
507904,0.42879,0.38593,0.36639,0.33146,0.33949,0.05635,0.09606,0.11181,0.12642,0.16579,0.05635,0.10796,0.13424,0.16711,0.3888,0.44582,0.36326,0.31579,0.23715,0.09505
524288,0.42879,0.38593,0.36599,0.33123,0.33945,0.05635,0.09606,0.11178,0.12639,0.16574,0.05635,0.10796,0.13419,0.16709,0.3888,0.44582,0.36326,0.31517,0.23684,0.09505
540672,0.43189,0.38647,0.36638,0.33139,0.3397,0.05646,0.09611,0.11183,0.12651,0.16587,0.05646,0.10796,0.13419,0.16702,0.3888,0.44892,0.36326,0.31517,0.23653,0.09505
557056,0.43498,0.3872,0.36659,0.33162,0.34018,0.0568,0.09628,0.11195,0.12668,0.16606,0.0568,0.10796,0.13414,0.16705,0.3888,0.45201,0.36326,0.31455,0.23622,0.09505
573440,0.43498,0.38743,0.36621,0.33192,0.34016,0.0568,0.09609,0.11177,0.12667,0.166,0.0568,0.10781,0.13352,0.16716,0.3888,0.45201,0.36326,0.31393,0.23684,0.09505
589824,0.43498,0.38815,0.36657,0.33178,0.3402,0.0568,0.09626,0.11172,0.12668,0.166,0.0568,0.10833,0.13327,0.1671,0.3888,0.45201,0.36429,0.31455,0.23653,0.09505
606208,0.43498,0.38907,0.36678,0.33138,0.34018,0.0568,0.09628,0.11173,0.12662,0.16599,0.0568,0.10834,0.13327,0.16675,0.3888,0.45201,0.36533,0.31455,0.23591,0.09505
622592,0.43498,0.38853,0.36644,0.33141,0.34018,0.0568,0.09622,0.11166,0.12661,0.16598,0.0568,0.10823,0.13316,0.16675,0.3888,0.45201,0.36429,0.31393,0.23591,0.09505
638976,0.43808,0.39057,0.36679,0.33159,0.34051,0.05711,0.09693,0.11185,0.12685,0.16623,0.05711,0.10906,0.13302,0.16671,0.3888,0.45511,0.36636,0.31331,0.2356,0.09505
655360,0.44118,0.38966,0.36704,0.3317,0.34049,0.05717,0.09669,0.11181,0.1268,0.16616,0.05717,0.10845,0.13302,0.16681,0.3888,0.4582,0.36429,0.31331,0.2356,0.09505
671744,0.44118,0.38966,0.36805,0.33191,0.34047,0.05717,0.09669,0.11192,0.1268,0.16615,0.05717,0.10845,0.13316,0.16683,0.3888,0.4582,0.36429,0.31455,0.23591,0.09505
688128,0.44118,0.39038,0.36809,0.33201,0.34046,0.05717,0.09674,0.11181,0.12671,0.16604,0.05717,0.10853,0.13316,0.16697,0.3888,0.4582,0.36533,0.31455,0.23622,0.09505
704512,0.44272,0.39069,0.3683,0.33232,0.34066,0.05717,0.09674,0.1118,0.12677,0.16607,0.05717,0.10853,0.13316,0.16693,0.3888,0.4582,0.36533,0.31455,0.23622,0.09505
720896,0.44272,0.39105,0.36915,0.33259,0.34069,0.05717,0.0969,0.11186,0.12684,0.16612,0.05717,0.10877,0.13321,0.16694,0.3888,0.4582,0.36636,0.31579,0.23653,0.09505
737280,0.44272,0.39158,0.36987,0.33244,0.34074,0.05717,0.0969,0.11245,0.12678,0.16619,0.05717,0.10879,0.13629,0.16669,0.3888,0.4582,0.36739,0.31579,0.23622,0.09505
753664,0.44272,0.39158,0.36983,0.33249,0.34073,0.05717,0.0969,0.11245,0.12684,0.16619,0.05717,0.10879,0.13629,0.16675,0.3888,0.4582,0.36739,0.31579,0.23653,0.09505
770048,0.44272,0.39158,0.36942,0.33242,0.34069,0.05717,0.0969,0.11245,0.12681,0.16613,0.05717,0.10879,0.13628,0.16675,0.3888,0.4582,0.36739,0.31517,0.23653,0.09505
786432,0.44272,0.39124,0.36922,0.33276,0.34075,0.05717,0.09691,0.11242,0.12684,0.16614,0.05717,0.10878,0.13618,0.16677,0.3888,0.4582,0.36636,0.31455,0.23684,0.09505
802816,0.44272,0.38979,0.36903,0.33304,0.34068,0.05717,0.09683,0.11239,0.12688,0.1661,0.05717,0.10862,0.13618,0.16702,0.3888,0.4582,0.36429,0.31455,0.23746,0.09505
819200,0.44272,0.39051,0.36959,0.3332,0.34085,0.05717,0.097,0.11254,0.12702,0.1662,0.05717,0.10914,0.13628,0.16735,0.3888,0.4582,0.36533,0.31517,0.23746,0.09505
835584,0.44272,0.39032,0.36945,0.33331,0.34077,0.05717,0.09697,0.11252,0.12701,0.16616,0.05717,0.10914,0.13628,0.16746,0.3888,0.4582,0.36533,0.31517,0.23777,0.09505
